"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"119","pop",2010,42.3699421965318,0.616838150289017,0.777306358381503,-5.74826011560694,0.107110228323699,127.173526011561,227797.260115607,0.606299421965318,0.183403468208092
"120","pop",2011,48.4930555555556,0.61175,0.734348194444444,-6.16995138888889,0.140578492361111,124.957076388889,243003.083333333,0.528342361111111,0.180053472222222
"121","pop",2012,52.8522727272727,0.620965909090909,0.763534090909091,-5.34278977272727,0.0974062880681818,121.841068181818,229936.505681818,0.528769318181818,0.177296590909091
"122","pop",2013,46.2907488986784,0.626370044052863,0.720828193832599,-6.2927577092511,0.122786428193833,122.343114537445,239999.678414097,0.532493392070485,0.178248017621145
"123","pop",2014,41.7594936708861,0.609594936708861,0.73751582278481,-6.00010443037975,0.12985981835443,123.72746835443,228644.712025316,0.495013924050633,0.181984493670886
"124","pop",2015,42.0918580375783,0.638770354906054,0.68751356993737,-6.45075782881002,0.174492023382046,120.041766179541,226177.628392484,0.464825469728601,0.168131732776618
"125","pop",2016,41.5009416195857,0.63245197740113,0.667963276836158,-6.46945574387947,0.203306913370998,117.427416195857,219442.790960452,0.454361958568738,0.179799811676083
"126","pop",2017,48.419801980198,0.647380198019802,0.682605940594059,-6.09514257425743,0.188933984237624,118.293675247525,215286.047524752,0.492488910891089,0.170852871287129
"127","pop",2018,52.2244318181818,0.653889914772727,0.678966477272727,-6.10673863636364,0.185320396732955,117.161092329545,207186.572443182,0.475092613636364,0.169141335227273
"128","pop",2019,54.8805535324108,0.6598689002185,0.679333794610342,-6.18235251274581,0.193093833066278,119.322138383103,197778.066278223,0.484459359067735,0.173768099053168
"129","pop",2020,47.2058823529412,0.643258823529412,0.624641176470588,-7.24854117647059,0.259186948294118,118.490611764706,200047.994117647,0.467832352941176,0.182766470588235
"130","pop",NA,10,0.6115,0.661,-9.2625,0.22,150.7895,225220,0.7385,0.09535
"131","r&b",1957,59,0.565,0.962,-2.981,0.437,148.808,160227,0.906,0.056
"132","r&b",1960,16,0.38625,0.46475,-9.0115,0.7215,149.153,157586.75,0.579,0.401
"133","r&b",1961,47,0.585,0.036,-14.145,0.859,151.223,198760,0.433,0.0908
"134","r&b",1962,64,0.816,0.514,-8.741,0.767,136.837,176333,0.912,0.0899
"135","r&b",1963,73,0.343,0.76,-7.146,0.392,126.322,166453,0.356,0.0773
"136","r&b",1964,45,0.611,0.359,-8.026,0.79,106.274,132107,0.568,0.391
"137","r&b",1965,40.6666666666667,0.455333333333333,0.540333333333333,-9.75566666666667,0.83,136.576666666667,243297.666666667,0.499666666666667,0.157933333333333
"138","r&b",1966,46.6666666666667,0.535333333333333,0.483333333333333,-13.7783333333333,0.1536,125.738666666667,162924.333333333,0.555666666666667,0.185133333333333
"139","r&b",1967,53.8,0.5668,0.5172,-9.1406,0.40018,106.0806,177522.6,0.5792,0.14102
"140","r&b",1968,60,0.6715,0.4925,-10.9405,0.3405,118.728,153386.5,0.909,0.298
"141","r&b",1969,62.25,0.45,0.67225,-10.68475,0.334425,159.08475,170356.5,0.68125,0.2105
"142","r&b",1970,50.3333333333333,0.657,0.655,-9.17116666666667,0.378501666666667,111.640833333333,223955.5,0.773166666666667,0.31805
"143","r&b",1971,53.75,0.51825,0.4885,-10.59375,0.46,78.704,164139.75,0.459375,0.092675
"144","r&b",1972,52.6,0.6732,0.7712,-7.5098,0.3525356,114.9878,215973.2,0.7526,0.15612
"145","r&b",1973,28,0.691,0.7915,-7.9165,0.10055,113.667,263590,0.709,0.1396
"146","r&b",1974,38.3,0.6872,0.6283,-10.176,0.41935,122.8411,237872.1,0.8621,0.1392
"147","r&b",1975,46.625,0.657625,0.588125,-12.822875,0.263875,111.69425,268620,0.68625,0.132925
"148","r&b",1976,53.2222222222222,0.616,0.583,-11.0962222222222,0.336777111111111,128.174666666667,265708,0.681333333333333,0.130488888888889
"149","r&b",1977,37.6666666666667,0.578333333333333,0.82,-9.70766666666667,0.121866666666667,138.767333333333,289786.666666667,0.696666666666667,0.215333333333333
"150","r&b",1978,50.6,0.8062,0.6466,-9.0652,0.14622,119.8326,306749.4,0.8464,0.1403
"151","r&b",1979,40,0.6332,0.6404,-11.9244,0.17566,122.3914,298954.8,0.7834,0.12014
"152","r&b",1980,53.2,0.723,0.697,-9.2566,0.20358,119.9348,285090.8,0.7648,0.06654
"153","r&b",1981,56.3333333333333,0.541,0.748333333333333,-9.42033333333333,0.160483333333333,97.8553333333333,263013.333333333,0.737666666666667,0.172333333333333
"154","r&b",1982,56.2,0.8034,0.5204,-11.8286,0.150994,104.3598,292368.2,0.7258,0.21094
"155","r&b",1983,38.8571428571429,0.732142857142857,0.583428571428571,-11.2237142857143,0.12665,119.358857142857,291861,0.728714285714286,0.181685714285714
"156","r&b",1984,48.1,0.6283,0.7857,-7.6411,0.22185659,128.915,245214.6,0.6795,0.23035
