"","genre","subgenre","year","subgenre_mean"
"268","pop","electropop",2000,45
"269","pop","electropop",2001,35.35
"270","pop","electropop",2002,43.4
"271","pop","electropop",2003,32.5454545454545
"272","pop","electropop",2004,34.625
"273","pop","electropop",2005,28.0769230769231
"274","pop","electropop",2006,21.2647058823529
"275","pop","electropop",2007,35.8095238095238
"276","pop","electropop",2008,31.3214285714286
"277","pop","electropop",2009,15.15625
"278","pop","electropop",2010,28.1311475409836
"279","pop","electropop",2011,40.8039215686275
"280","pop","electropop",2012,43.9365079365079
"281","pop","electropop",2013,40.126582278481
"282","pop","electropop",2014,37.989010989011
"283","pop","electropop",2015,48.5571428571429
"284","pop","electropop",2016,49.5735294117647
"285","pop","electropop",2017,46.5
"286","pop","electropop",2018,53.9022988505747
"287","pop","electropop",2019,45.5636363636364
"288","pop","electropop",2020,26.4285714285714
"289","pop","electropop",NA,10
"290","pop","indie poptimism",1985,66
"291","pop","indie poptimism",1995,3
"292","pop","indie poptimism",2000,57
"293","pop","indie poptimism",2001,75
"294","pop","indie poptimism",2002,36
"295","pop","indie poptimism",2003,23.6666666666667
"296","pop","indie poptimism",2004,62
"297","pop","indie poptimism",2006,74
"298","pop","indie poptimism",2007,59.5
"299","pop","indie poptimism",2008,45.375
"300","pop","indie poptimism",2009,51.5
"301","pop","indie poptimism",2010,31
"302","pop","indie poptimism",2011,62.25
"303","pop","indie poptimism",2012,52.6470588235294
"304","pop","indie poptimism",2013,38.3214285714286
"305","pop","indie poptimism",2014,35.0153846153846
"306","pop","indie poptimism",2015,32.3925619834711
"307","pop","indie poptimism",2016,34.1829652996845
"308","pop","indie poptimism",2017,45.2789473684211
"309","pop","indie poptimism",2018,49.7058823529412
"310","pop","indie poptimism",2019,51.2543859649123
"311","pop","indie poptimism",2020,48.1414141414141
"312","pop","post-teen pop",1969,80
"313","pop","post-teen pop",1970,77
"314","pop","post-teen pop",1973,75
"315","pop","post-teen pop",1974,27
"316","pop","post-teen pop",1976,76
"317","pop","post-teen pop",1977,62
"318","pop","post-teen pop",1978,67.25
"319","pop","post-teen pop",1979,70.5
"320","pop","post-teen pop",1980,77
"321","pop","post-teen pop",1981,66.5
"322","pop","post-teen pop",1982,64.3333333333333
"323","pop","post-teen pop",1983,74
"324","pop","post-teen pop",1984,39.2
"325","pop","post-teen pop",1985,76.5
"326","pop","post-teen pop",1986,20
"327","pop","post-teen pop",1987,36.3333333333333
"328","pop","post-teen pop",1988,35
"329","pop","post-teen pop",1990,70.5
"330","pop","post-teen pop",1991,81
"331","pop","post-teen pop",1993,68
"332","pop","post-teen pop",1994,79
"333","pop","post-teen pop",1995,75
"334","pop","post-teen pop",1996,56.3333333333333
"335","pop","post-teen pop",1997,23.5
"336","pop","post-teen pop",1998,66.5
"337","pop","post-teen pop",1999,44.3333333333333
"338","pop","post-teen pop",2000,76
"339","pop","post-teen pop",2001,50.0909090909091
"340","pop","post-teen pop",2002,54.5
"341","pop","post-teen pop",2003,46
"342","pop","post-teen pop",2004,62.1428571428571
"343","pop","post-teen pop",2005,61.25
"344","pop","post-teen pop",2006,52.6923076923077
"345","pop","post-teen pop",2007,60.8095238095238
"346","pop","post-teen pop",2008,34.9090909090909
"347","pop","post-teen pop",2009,39.5476190476191
"348","pop","post-teen pop",2010,52.9879518072289
"349","pop","post-teen pop",2011,48.359375
"350","pop","post-teen pop",2012,59.8518518518519
"351","pop","post-teen pop",2013,55.1875
"352","pop","post-teen pop",2014,52.8769230769231
"353","pop","post-teen pop",2015,58.865671641791
"354","pop","post-teen pop",2016,52.8205128205128
"355","pop","post-teen pop",2017,53.1527777777778
"356","pop","post-teen pop",2018,66.0510204081633
"357","pop","post-teen pop",2019,66.25
"358","pop","post-teen pop",2020,86.6
"359","r&b","hip pop",1984,29
"360","r&b","hip pop",1991,25
"361","r&b","hip pop",1992,25.3333333333333
"362","r&b","hip pop",1994,44.25
"363","r&b","hip pop",1995,25.6666666666667
"364","r&b","hip pop",1996,76
"365","r&b","hip pop",1997,57.8571428571429
"366","r&b","hip pop",1998,66
"367","r&b","hip pop",1999,48.3636363636364
"368","r&b","hip pop",2000,33
"369","r&b","hip pop",2001,51.8235294117647
"370","r&b","hip pop",2002,56.9523809523809
"371","r&b","hip pop",2003,45
"372","r&b","hip pop",2004,51.1764705882353
"373","r&b","hip pop",2005,39.5
"374","r&b","hip pop",2006,37.3076923076923
"375","r&b","hip pop",2007,30.9230769230769
"376","r&b","hip pop",2008,36.3333333333333
"377","r&b","hip pop",2009,38.4285714285714
"378","r&b","hip pop",2010,43.875
"379","r&b","hip pop",2011,53.875
"380","r&b","hip pop",2012,44.5
"381","r&b","hip pop",2013,51.7142857142857
"382","r&b","hip pop",2014,42.1304347826087
"383","r&b","hip pop",2015,43
"384","r&b","hip pop",2016,49.3846153846154
"385","r&b","hip pop",2017,52.9621212121212
"386","r&b","hip pop",2018,59.5255474452555
"387","r&b","hip pop",2019,60.021568627451
"388","r&b","hip pop",2020,48.8266666666667
"389","r&b","neo soul",1960,13
"390","r&b","neo soul",1963,73
"391","r&b","neo soul",1964,45
"392","r&b","neo soul",1966,66
"393","r&b","neo soul",1967,45.6666666666667
"394","r&b","neo soul",1968,48
"395","r&b","neo soul",1971,76
"396","r&b","neo soul",1975,60
"397","r&b","neo soul",1979,27.3333333333333
"398","r&b","neo soul",1981,32
"399","r&b","neo soul",1983,34.5
"400","r&b","neo soul",1984,32.6666666666667
